ID,Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
85,BMW,Subcompact,3,6,M6,Z,12.8,8.8,11,256
86,BMW,Subcompact,3,6,AS8,Z,11.2,7.8,9.7,227
87,BMW,Subcompact,3,6,M6,Z,12.8,8.8,11,256
88,BMW,Subcompact,3,6,AS8,Z,11.2,7.8,9.7,227
89,BMW,Subcompact,3,6,M6,Z,12.8,8.8,11,256
90,BMW,Subcompact,3,6,AS8,Z,11.3,8,9.8,229
91,BMW,Subcompact,3,6,AS8,Z,11.3,8,9.8,229
92,BMW,Subcompact,3,6,AS8,Z,11.3,8,9.8,229
93,BMW,Subcompact,3,6,AM7,Z,14.5,10.5,12.7,299
94,BMW,Subcompact,3,6,M6,Z,13.8,9.4,11.9,280
95,BMW,Subcompact,3,6,AM7,Z,14.5,10.5,12.7,299
96,BMW,Subcompact,3,6,M6,Z,13.8,9.4,11.9,280
97,BMW,Compact,3,6,AM7,Z,14.3,10.4,12.6,294
98,BMW,Compact,3,6,M6,Z,13.4,9.6,11.7,273
99,BMW,Compact,3,6,AM7,Z,14.3,10.4,12.6,294
100,BMW,Compact,3,6,M6,Z,13.4,9.6,11.7,273
101,BMW,Compact,3,6,AM7,Z,14.3,10.4,12.6,294
102,BMW,Mid-size,4.4,8,AS8,Z,16,11.2,13.9,324
103,BMW,Mid-size,4.4,8,AS8,Z,16,11.2,13.9,324
104,BMW,Mid-size,4.4,8,AS8,Z,13.3,9.2,11.5,269
105,BMW,Compact,4.4,8,AM7,Z,17.3,11.6,14.7,344
106,BMW,Full-size,6.6,12,AS8,Z,17.7,11.9,15.1,355
107,BMW,Subcompact,4.4,8,AS8,Z,13.5,9.2,11.6,270
108,BMW,Subcompact,4.4,8,AS8,Z,13.3,9.2,11.5,269
109,BMW,SUV: Small,2,4,AS8,Z,10.7,7.5,9.3,217
110,BMW,SUV: Small,2,4,AS8,Z,11,7.7,9.5,222
111,BMW,SUV: Small,2,4,AS8,Z,10.8,8,9.6,223
112,BMW,SUV: Small,3,6,AS8,Z,11.9,8.7,10.4,245
113,BMW,SUV: Small,2,4,AS8,Z,10.8,8,9.6,223
114,BMW,SUV: Small,3,6,AS8,Z,11.9,8.7,10.4,245
115,BMW,SUV: Standard,3,6,AS8,Z,11.7,9.1,10.5,245
116,BMW,SUV: Standard,4.4,8,AS8,Z,15.3,11.1,13.4,314
117,BMW,SUV: Standard,3,6,AS8,Z,13,9.9,11.6,272
118,BMW,SUV: Standard,4.4,8,AS8,Z,14.3,10.6,12.6,294
119,BMW,SUV: Standard,4.4,8,AS8,Z,16.6,12.1,14.6,341
120,BMW,SUV: Standard,3,6,AS8,Z,12,9.4,10.8,254
121,BMW,SUV: Standard,4.4,8,AS8,Z,14.3,10.6,12.6,294
122,Bugatti,Two-seater,8,16,AM7,Z,26.8,16.6,22.2,522
123,Buick,SUV: Standard,3.6,6,A9,X,13,9.1,11.2,263
124,Buick,SUV: Standard,3.6,6,A9,X,13.8,9.5,11.9,278
125,Buick,SUV: Small,1.4,4,AS6,X,9.4,7.8,8.7,204
126,Buick,SUV: Small,1.4,4,AS6,X,8.9,7.5,8.3,194
127,Buick,SUV: Small,1.4,4,AS6,X,9.9,8.1,9.1,214
128,Buick,SUV: Small,1.4,4,AS6,X,9.4,7.9,8.8,205
129,Buick,SUV: Small,2,4,A9,Z,11.7,9.4,10.7,249
130,Buick,SUV: Small,2.5,4,A6,X,11.1,8.6,10,234
131,Buick,Mid-size,3.6,6,AS9,X,11.7,7.8,9.9,233
132,Buick,Mid-size,2.5,4,AS6,X,9.4,6.8,8.2,192
133,Buick,Mid-size,3.6,6,AS9,X,11.7,8.2,10.1,238
